First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex,AHR
Bernardo,Magalhaes,69,155,65,11,3,0,14,0.785714286,male,0.942028986
Artem,Lobov,69,145,65,14,15,1,30,0.483333333,male,0.942028986
Cole,Smith,71,135,67,7,1,0,8,0.875,male,0.943661972
Cody,Garbrandt,68,135,65,11,3,0,14,0.785714286,male,0.955882353
Suman,Mokhtarian,70,145,67,8,1,0,9,0.888888889,male,0.957142857
Frank,Gomez,70,135,67,10,4,0,14,0.714285714,male,0.957142857
Chris,Lytle,71,170,68,31,18,5,54,0.62037037,male,0.957746479
Phil,Hawes,73,185,70,4,1,0,5,0.8,male,0.95890411
Hu,Yaozong,75,205,72,3,2,0,5,0.6,male,0.96
Issei,Tamura,65,135,63,7,4,0,11,0.636363636,male,0.969230769
Adam,Antolin,65,125,63,12,3,0,15,0.8,male,0.969230769
Antonio,Banuelos,65,135,63,19,7,1,27,0.722222222,male,0.969230769
Darren,Uyenoyama,66,125,64,8,5,0,13,0.615384615,male,0.96969697
Marcus,Hicks,66,155,64,9,3,0,12,0.75,male,0.96969697
Brad,Katona,66,135,64,9,2,0,11,0.818181818,male,0.96969697
Ivan,Menjivar,66,145,64,25,12,0,37,0.675675676,male,0.96969697
Cody,Stamann,66,135,64,18,2,0,20,0.9,male,0.96969697
Tateki,Matsuda,67,125,65,10,7,0,17,0.588235294,male,0.970149254
Jianping,Yang,67,145,65,7,4,1,12,0.625,male,0.970149254
Reginaldo,Vieira,67,135,65,14,5,0,19,0.736842105,male,0.970149254
Katsunori,Kikuno,68,145,66,23,8,2,33,0.727272727,male,0.970588235
Naoyuki,Kotani,68,155,66,33,13,7,53,0.688679245,male,0.970588235
Alex,Karalexis,68,155,66,10,6,0,16,0.625,male,0.970588235
Chris,Gutierrez,69,135,67,14,3,0,17,0.823529412,male,0.971014493
Damien,Brown,70,155,68,17,12,0,29,0.586206897,male,0.971428571
Tristan,Connelly,70,170,68,14,6,0,20,0.7,male,0.971428571
Matt,Wiman,70,155,68,16,8,0,24,0.666666667,male,0.971428571
Walel,Watson,71,135,69,9,5,0,14,0.642857143,male,0.971830986
Joe,Gigliotti,71,185,69,7,2,0,9,0.777777778,male,0.971830986
Alessandro,Ricci,71,155,69,10,5,0,15,0.666666667,male,0.971830986
Max,Holloway,71,145,69,21,4,0,25,0.84,male,0.971830986
Tony,DeSouza,72,170,70,10,4,0,14,0.714285714,male,0.972222222
Daniel,Kelly,72,185,70,13,4,0,17,0.764705882,male,0.972222222
Harvey,Park,72,155,70,12,2,0,14,0.857142857,male,0.972222222
Joe,Riggs,72,185,70,41,17,0,58,0.706896552,male,0.972222222
Scott,Smith,72,185,70,17,9,0,26,0.653846154,male,0.972222222
Rick,Glenn,72,145,70,21,6,1,28,0.767857143,male,0.972222222
Laureano,Staropoli,73,170,71,9,1,0,10,0.9,male,0.97260274
Sheldon,Westcott,73,170,71,10,3,1,14,0.75,male,0.97260274
Richardson,Moreira,74,185,72,7,4,0,11,0.636363636,male,0.972972973
Antonio,Arroyo,75,185,73,8,2,0,10,0.8,male,0.973333333
Tom,Breese,75,185,73,11,1,0,12,0.916666667,male,0.973333333
Hans,Stringer,75,205,73,22,7,3,32,0.734375,male,0.973333333
Leon,Shahbazyan,76,170,74,7,1,0,8,0.875,male,0.973684211
Alton,Meeks,77,265,75,3,1,0,4,0.75,male,0.974025974
Jarred,Brooks,63,125,62,14,2,0,16,0.875,male,0.984126984
Ray,Borg,64,135,63,12,4,0,16,0.75,male,0.984375
Yao,Zhikui,65,125,64,2,5,0,7,0.285714286,male,0.984615385
Ian,Entwistle,65,135,64,9,3,0,12,0.75,male,0.984615385
Ian,McCall,65,125,64,13,5,1,19,0.710526316,male,0.984615385
Mark,De La Rosa,66,135,65,11,3,0,14,0.785714286,male,0.984848485
Augusto,Mendes,66,135,65,6,2,0,8,0.75,male,0.984848485
Pedro,Munhoz,66,135,65,18,4,0,22,0.818181818,male,0.984848485
Alex,Perez,66,135,65,22,5,0,27,0.814814815,male,0.984848485
Bruno,Korea,66,135,65,4,2,0,6,0.666666667,male,0.984848485
Joe,Soto,66,135,65,18,7,0,25,0.72,male,0.984848485
Motonobu,Tezuka,67,135,66,19,6,4,29,0.724137931,male,0.985074627
Tim,Elliott,67,135,66,16,9,1,26,0.634615385,male,0.985074627
Miles,Johns,67,135,66,10,0,0,10,1,male,0.985074627
Kenji,Osawa,67,135,66,18,10,2,30,0.633333333,male,0.985074627
Justin,Scoggins,67,125,66,11,5,0,16,0.6875,male,0.985074627
Armando,Villarreal,67,135,66,5,1,0,6,0.833333333,male,0.985074627
Zhenhong,Lv,68,145,67,18,6,0,24,0.75,male,0.985294118
Carlos,Candelario,68,125,67,6,0,0,6,1,male,0.985294118
Song,Yadong,68,135,67,15,4,0,19,0.789473684,male,0.985294118
Justin,Lawrence,68,145,67,5,2,0,7,0.714285714,male,0.985294118
Jared,Papazian,68,135,67,14,9,0,23,0.608695652,male,0.985294118
Sam,Sicilia,68,145,67,15,8,0,23,0.652173913,male,0.985294118
Deividas,Taurosevicius,69,145,68,13,5,0,18,0.722222222,male,0.985507246
Mike,Budnik,69,145,68,11,4,0,15,0.733333333,male,0.985507246
Roger,Bowling,69,155,68,11,5,0,16,0.6875,male,0.985507246
Fernando,Gonzalez,69,170,68,19,11,0,30,0.633333333,male,0.985507246
Jared,Gordon,69,155,68,15,3,0,18,0.833333333,male,0.985507246
Melvin,Guillard,69,155,68,48,15,3,66,0.75,male,0.985507246
Chris,Heatherly,69,155,68,9,3,0,12,0.75,male,0.985507246
Alvin,Robinson,69,155,68,12,6,0,18,0.666666667,male,0.985507246
Manuel,Rodriguez,69,170,68,10,4,0,14,0.714285714,male,0.985507246
Richie,Smullen,69,155,68,3,1,1,5,0.7,male,0.985507246
Austin,Tweedy,69,155,68,10,1,0,11,0.909090909,male,0.985507246
Antonio,Carvalho,69,145,68,15,6,0,21,0.714285714,male,0.985507246
Rocky,Lee,69,145,68,3,2,0,5,0.6,male,0.985507246
Cole,Province,69,145,68,6,2,0,8,0.75,male,0.985507246
Louis,Smolka,69,135,68,16,6,0,22,0.727272727,male,0.985507246
Paddy,Holohan,70,125,69,12,2,1,15,0.833333333,male,0.985714286
Nathan,Coy,70,170,69,15,7,0,22,0.681818182,male,0.985714286
Dale,Hartt,70,155,69,6,3,0,9,0.666666667,male,0.985714286
Will,Kerr,70,155,69,9,3,0,12,0.75,male,0.985714286
James,Wallace,70,155,69,9,2,0,11,0.818181818,male,0.985714286
Seth,Dikun,70,135,69,7,4,0,11,0.636363636,male,0.985714286
Leonard,Garcia,70,145,69,19,11,1,31,0.629032258,male,0.985714286
Horacio,Gutierrez,70,145,69,3,3,0,6,0.5,male,0.985714286
Mike,Santiago,70,145,69,21,12,0,33,0.636363636,male,0.985714286
Hatsu,Hioki,71,145,70,27,9,2,38,0.736842105,male,0.985915493
Gadzhimurad,Antigulov,71,205,70,20,6,0,26,0.769230769,male,0.985915493
Dong Hyun,Ma,71,155,70,16,10,3,29,0.603448276,male,0.985915493
Kazuhiro,Nakamura,71,205,70,15,11,0,26,0.576923077,male,0.985915493
Muslim,Salikhov,71,170,70,15,2,0,17,0.882352941,male,0.985915493
Paul,Felder,71,155,70,17,4,0,21,0.80952381,male,0.985915493
Justin,Gaethje,71,155,70,21,2,0,23,0.913043478,male,0.985915493
Andrew,Holbrook,71,155,70,12,3,0,15,0.8,male,0.985915493
Roger,Hollett,71,205,70,13,5,0,18,0.722222222,male,0.985915493
Kurt,Holobaugh,71,155,70,17,7,0,24,0.708333333,male,0.985915493
Norman,Parke,71,155,70,22,5,1,28,0.803571429,male,0.985915493
Tony,Sims,71,155,70,12,4,0,16,0.75,male,0.985915493
Cory,Sandhagen,71,135,70,12,1,0,13,0.923076923,male,0.985915493
Steven,Siler,71,145,70,23,13,0,36,0.638888889,male,0.985915493
Jingliang,Li,72,170,71,17,5,0,22,0.772727273,male,0.986111111
Shane,Campbell,72,155,71,12,6,0,18,0.666666667,male,0.986111111
Rory,Markham,72,170,71,16,6,0,22,0.727272727,male,0.986111111
Jonathan,Pearce,72,155,71,9,4,0,13,0.692307692,male,0.986111111
Wagner,Silva,72,170,71,3,3,0,6,0.5,male,0.986111111
Colton,Smith,72,155,71,6,4,0,10,0.6,male,0.986111111
Kenan,Song,72,170,71,15,5,0,20,0.75,male,0.986111111
Alex,White,72,155,71,13,5,0,18,0.722222222,male,0.986111111
Jacare,Souza,73,185,72,26,7,0,33,0.787878788,male,0.98630137
Paulo,Costa,73,185,72,13,0,0,13,1,male,0.98630137
Pascal,Krauss,73,170,72,11,2,0,13,0.846153846,male,0.98630137
Demian,Maia,73,170,72,27,9,0,36,0.75,male,0.98630137
Garreth,McLellan,73,185,72,13,6,0,19,0.684210526,male,0.98630137
Jason,Miller,73,185,72,34,10,0,44,0.772727273,male,0.98630137
Ken,Shamrock,73,205,72,28,16,2,46,0.630434783,male,0.98630137
Martin,Svensson,73,155,72,14,6,0,20,0.7,male,0.98630137
George,Roop,73,135,72,15,13,1,29,0.534482759,male,0.98630137
Alan,Belcher,74,185,73,17,7,0,24,0.708333333,male,0.986486486
Mirko,Cro Cop,74,230,73,31,11,2,44,0.727272727,male,0.986486486
James,Krause,74,170,73,25,8,0,33,0.757575758,male,0.986486486
Mike,Massenzio,74,185,73,13,6,0,19,0.684210526,male,0.986486486
Jarjis,Danho,75,265,74,6,1,1,8,0.8125,male,0.986666667
Junior,Albini,75,264,74,14,6,0,20,0.7,male,0.986666667
Seth,Baczynski,75,170,74,18,11,0,29,0.620689655,male,0.986666667
Cody,Donovan,75,205,74,8,5,0,13,0.615384615,male,0.986666667
Cody,East,75,245,74,12,3,0,15,0.8,male,0.986666667
Mario,Miranda,75,185,74,12,3,0,15,0.8,male,0.986666667
Tito,Ortiz,75,205,74,17,11,1,29,0.603448276,male,0.986666667
Marcin,Prachnio,75,205,74,13,4,0,17,0.764705882,male,0.986666667
Kalib,Starnes,75,185,74,12,7,1,20,0.625,male,0.986666667
Alexander,Yakovlev,75,155,74,24,8,1,33,0.742424242,male,0.986666667
Steve,Montgomery,76,185,75,8,4,0,12,0.666666667,male,0.986842105
Anthony,Hamilton,77,260,76,15,9,0,24,0.625,male,0.987012987
Matt,Van Buren,77,205,76,7,4,0,11,0.636363636,male,0.987012987
Luke,Barnatt,78,185,77,8,3,0,11,0.727272727,male,0.987179487
Ricardo,Prasel,79,238,78,10,1,0,11,0.909090909,male,0.987341772
Jack,May,80,255,79,7,2,0,9,0.777777778,male,0.9875
Raoni,Barcelos,67,135,67,14,1,0,15,0.933333333,male,1
Magomed,Bibulatov,65,125,65,14,2,0,16,0.875,male,1
Wuliji,Buren,69,135,69,10,7,0,17,0.588235294,male,1
Dooho,Choi,70,145,70,14,3,0,17,0.823529412,male,1
Masio,Fullen,70,145,70,10,6,0,16,0.625,male,1
Azamat,Gashimov,66,125,66,10,3,0,13,0.769230769,male,1
Sung Bin,Jo,72,145,72,9,1,0,10,0.9,male,1
Masanori,Kanehara,67,135,67,25,13,5,43,0.639534884,male,1
Noad,Lahat,69,145,69,9,2,0,11,0.818181818,male,1
Dileno,Lopes,65,135,65,19,3,0,22,0.863636364,male,1
Zabit,Magomedsharipov,73,145,73,17,1,0,18,0.944444444,male,1
Yui Chul,Nam,69,145,69,18,6,1,25,0.74,male,1
Ning,Guangyou,64,145,64,6,4,1,11,0.590909091,male,1
Alptekin,Ozkilic,65,125,65,9,4,0,13,0.692307692,male,1
Fredson,Paixao,66,145,66,10,4,0,14,0.714285714,male,1
Jumabieke,Tuerxun,67,135,67,17,3,1,21,0.833333333,male,1
